Tm,Year,NumGames,TotalWins,HomeWins,WinPct,First_3L_Streak,First_4L_Streak
COL,2018,163,91,47,0.558282209,12,59
ARI,2017,162,93,52,0.574074074,12,91
CHC,2017,162,92,48,0.567901235,12,13
OAK,2017,162,75,46,0.462962963,12,13
LAA,2016,162,74,40,0.456790123,12,32
COL,2015,162,68,36,0.419753086,12,13
PIT,2014,162,88,51,0.543209877,12,24
WSN,2014,162,96,51,0.592592593,12,49
WSN,2013,162,86,47,0.530864198,12,21
LAA,2009,162,97,49,0.598765432,12,154
TEX,2008,162,79,40,0.487654321,12,13
CHW,2007,162,72,38,0.444444444,12,25
CLE,2007,162,96,51,0.592592593,12,107
LAA,2007,162,94,54,0.580246914,12,13
ARI,2005,162,77,36,0.475308642,12,56
FLA,2004,162,83,42,0.512345679,12,26
NYM,2004,162,71,38,0.438271605,12,49
TBD,2004,161,70,41,0.434782609,12,20
HOU,2003,162,87,48,0.537037037,12,13
PHI,2002,161,80,40,0.49689441,12,19
CLE,1997,161,86,44,0.534161491,12,13
FLA,1997,162,92,52,0.567901235,12,18
CAL,1996,161,70,43,0.434782609,12,13
NYY,1995,145,79,46,0.544827586,12,19
MON,1994,114,74,32,0.649122807,12,13
TEX,1994,114,52,31,0.456140351,12,13
ATL,1993,162,104,51,0.641975309,12,23
CHW,1993,162,94,45,0.580246914,12,45
PIT,1993,162,75,40,0.462962963,12,13
STL,1993,162,87,49,0.537037037,12,30
MIL,1992,162,92,53,0.567901235,12,25
SDP,1992,162,82,45,0.50617284,12,13
BAL,1991,162,67,33,0.413580247,12,40
HOU,1991,162,65,37,0.401234568,12,32
OAK,1991,162,84,47,0.518518519,12,13
CHC,1990,162,77,39,0.475308642,12,13
STL,1990,162,70,34,0.432098765,12,13
CHC,1988,163,77,39,0.472392638,12,13
KCR,1988,161,84,44,0.52173913,12,13
MIN,1988,162,91,47,0.561728395,12,13
OAK,1988,162,104,54,0.641975309,12,57
ATL,1987,161,69,42,0.428571429,12,13
TEX,1986,162,87,51,0.537037037,12,63
CLE,1983,162,70,36,0.432098765,12,13
MIN,1982,162,60,37,0.37037037,12,26
PHI,1981,107,59,36,0.551401869,12,64
MIN,1979,162,82,39,0.50617284,12,34
SFG,1979,162,71,38,0.438271605,12,13
STL,1978,162,69,37,0.425925926,12,13
STL,1975,163,82,45,0.503067485,12,13
STL,1974,161,86,44,0.534161491,12,54
HOU,1971,162,79,39,0.487654321,12,20
ATL,1970,162,76,42,0.469135802,12,13
CAL,1966,162,80,42,0.49382716,12,32
MLN,1963,163,84,45,0.515337423,12,13
KCA,1960,155,58,34,0.374193548,12,13
NYY,1959,155,79,40,0.509677419,12,13
DET,1958,154,77,43,0.5,12,29
BRO,1956,154,93,52,0.603896104,12,13
CHW,1956,154,85,46,0.551948052,12,13
SLB,1952,155,64,42,0.412903226,12,19
NYG,1948,155,78,37,0.503225806,12,52
BRO,1946,157,96,56,0.611464968,12,48
