"","Year","Tm","Home_win_pct","Home_Games","Home_Wins","Away_win_pct","Away_Games","Away_Wins"
"161",1885,"CHC",0.75,56,42,0.789473684210526,57,45
"162",1885,"CIN",0.625,56,35,0.5,56,28
"163",1885,"DTN",0.557692307692308,52,29,0.214285714285714,56,12
"164",1885,"LOU",0.660714285714286,56,37,0.285714285714286,56,16
"165",1885,"NYG",0.836065573770492,61,51,0.666666666666667,51,34
"166",1885,"NYP",0.538461538461538,52,28,0.285714285714286,56,16
"167",1885,"PHA",0.578947368421053,57,33,0.392857142857143,56,22
"168",1885,"PHI",0.527272727272727,55,29,0.482142857142857,56,27
"169",1885,"PIT",0.649122807017544,57,37,0.351851851851852,54,19
"170",1885,"PRO",0.607843137254902,51,31,0.372881355932203,59,22
"171",1885,"SLM",0.396551724137931,58,23,0.245283018867925,53,13
"172",1885,"STL",0.8,55,44,0.614035087719298,57,35
"173",1886,"BAL",0.447761194029851,67,30,0.25,72,18
"174",1886,"BRO",0.628571428571429,70,44,0.450704225352113,71,32
"175",1886,"BSN",0.542372881355932,59,32,0.406779661016949,59,24
"176",1886,"CHC",0.838709677419355,62,52,0.59375,64,38
"177",1886,"CIN",0.563380281690141,71,40,0.357142857142857,70,25
"178",1886,"DTN",0.790322580645161,62,49,0.59375,64,38
"179",1886,"KCN",0.293103448275862,58,17,0.191176470588235,68,13
"180",1886,"LOU",0.536231884057971,69,37,0.420289855072464,69,29
"181",1886,"NYG",0.746031746031746,63,47,0.459016393442623,61,28
"182",1886,"NYP",0.461538461538462,65,30,0.319444444444444,72,23
"183",1886,"PHA",0.535211267605634,71,38,0.367647058823529,68,25
"184",1886,"PHI",0.725806451612903,62,45,0.456140350877193,57,26
"185",1886,"PIT",0.608108108108108,74,45,0.53030303030303,66,35
"186",1886,"SLM",0.428571428571429,63,27,0.253968253968254,63,16
"187",1886,"STL",0.742857142857143,70,52,0.594202898550725,69,41
"188",1886,"WHS",0.287878787878788,66,19,0.152542372881356,59,9
"189",1887,"BAL",0.617647058823529,68,42,0.479452054794521,73,35
"190",1887,"BRO",0.486486486486487,74,36,0.375,64,24
"191",1887,"BSN",0.633333333333333,60,38,0.343283582089552,67,23
"192",1887,"CHC",0.656716417910448,67,44,0.45,60,27
"193",1887,"CIN",0.63013698630137,73,46,0.555555555555556,63,35
"194",1887,"CLE",0.366666666666667,60,22,0.232876712328767,73,17
"195",1887,"DTN",0.709677419354839,62,44,0.538461538461538,65,35
"196",1887,"IND",0.375,64,24,0.206349206349206,63,13
"197",1887,"LOU",0.652173913043478,69,45,0.442857142857143,70,31
"198",1887,"NYG",0.571428571428571,63,36,0.484848484848485,66,32
"199",1887,"NYP",0.419354838709677,62,26,0.236842105263158,76,18
"200",1887,"PHA",0.577464788732394,71,41,0.348484848484849,66,23
"201",1887,"PHI",0.59375,64,38,0.578125,64,37
"202",1887,"PIT",0.476923076923077,65,31,0.4,60,24
"203",1887,"STL",0.794520547945205,73,58,0.569230769230769,65,37
"204",1887,"WHS",0.412698412698413,63,26,0.317460317460317,63,20
"205",1888,"BAL",0.535714285714286,56,30,0.333333333333333,81,27
"206",1888,"BRO",0.697368421052632,76,53,0.522388059701492,67,35
"207",1888,"BSN",0.529411764705882,68,36,0.492753623188406,69,34
"208",1888,"CHC",0.614285714285714,70,43,0.515151515151515,66,34
"209",1888,"CIN",0.682926829268293,82,56,0.436363636363636,55,24
"210",1888,"CLE",0.55,60,33,0.226666666666667,75,17
"211",1888,"DTN",0.588235294117647,68,40,0.424242424242424,66,28
"212",1888,"IND",0.46969696969697,66,31,0.271428571428571,70,19
"213",1888,"KCC",0.403508771929825,57,23,0.266666666666667,75,20
"214",1888,"LOU",0.45,60,27,0.265822784810127,79,21
"215",1888,"NYG",0.628571428571429,70,44,0.588235294117647,68,40
