Year,Tm,Home_win_pct,Home_Games,Home_Wins,Away_win_pct,Away_Games,Away_Wins,Difference,Absolute Difference
1897,PIT,0.584615385,65,38,0.314285714,70,22,0.27032967,0.27032967
1890,LOU,0.77027027,74,57,0.5,62,31,0.27027027,0.27027027
1886,PHI,0.725806452,62,45,0.456140351,57,26,0.269666101,0.269666101
1918,CIN,0.647887324,71,46,0.379310345,58,22,0.268576979,0.268576979
1877,HAR,0.655172414,29,19,0.387096774,31,12,0.26807564,0.26807564
1978,PIT,0.679012346,81,55,0.4125,80,33,0.266512346,0.266512346
1902,BLA,0.5,64,32,0.233766234,77,18,0.266233766,0.266233766
1961,NYY,0.802469136,81,65,0.536585366,82,44,0.26588377,0.26588377
1883,CHC,0.734693878,49,36,0.469387755,49,23,0.265306122,0.265306122
1882,CHC,0.777777778,45,35,0.512820513,39,20,0.264957265,0.264957265
1936,BOS,0.61038961,77,47,0.346153846,78,27,0.264235764,0.264235764
1926,CIN,0.688311688,77,53,0.425,80,34,0.263311688,0.263311688
1906,PHA,0.657534247,73,48,0.394736842,76,30,0.262797404,0.262797404
1874,ATH,0.724137931,29,21,0.461538462,26,12,0.262599469,0.262599469
1895,WHS,0.449275362,69,31,0.1875,64,12,0.261775362,0.261775362
1891,BRO,0.569444444,72,41,0.307692308,65,20,0.261752137,0.261752137
1961,LAA,0.56097561,82,46,0.3,80,24,0.26097561,0.26097561
1895,PIT,0.656716418,67,44,0.397058824,68,27,0.259657594,0.259657594
2006,MIL,0.592592593,81,48,0.333333333,81,27,0.259259259,0.259259259
2010,COL,0.641975309,81,52,0.382716049,81,31,0.259259259,0.259259259
2003,MON,0.641975309,81,52,0.382716049,81,31,0.259259259,0.259259259
2002,COL,0.580246914,81,47,0.320987654,81,26,0.259259259,0.259259259
2010,ATL,0.691358025,81,56,0.432098765,81,35,0.259259259,0.259259259
2006,TBD,0.50617284,81,41,0.24691358,81,20,0.259259259,0.259259259
1916,WSH,0.604938272,81,49,0.346153846,78,27,0.258784425,0.258784425
1890,PIT,0.35,40,14,0.091836735,98,9,0.258163265,0.258163265
1874,BRA,0.517241379,29,15,0.259259259,27,7,0.25798212,0.25798212
1893,BLN,0.6,60,36,0.342857143,70,24,0.257142857,0.257142857
1892,STL,0.493333333,75,37,0.2375,80,19,0.255833333,0.255833333
1926,BSN,0.558441558,77,43,0.302631579,76,23,0.255809979,0.255809979
1883,CIN,0.745098039,51,38,0.489361702,47,23,0.255736337,0.255736337
1981,MON,0.678571429,56,38,0.423076923,52,22,0.255494505,0.255494505
1925,STL,0.631578947,76,48,0.376623377,77,29,0.254955571,0.254955571
1910,BOS,0.6375,80,51,0.384615385,78,30,0.252884615,0.252884615
1994,DET,0.586206897,58,34,0.333333333,57,19,0.252873563,0.252873563
1952,SLB,0.538461538,78,42,0.285714286,77,22,0.252747253,0.252747253
1885,NYP,0.538461538,52,28,0.285714286,56,16,0.252747253,0.252747253
1961,CHW,0.654320988,81,53,0.402439024,82,33,0.251881963,0.251881963
1958,BOS,0.636363636,77,49,0.384615385,78,30,0.251748252,0.251748252
1905,CIN,0.632911392,79,50,0.381578947,76,29,0.251332445,0.251332445
1896,WHS,0.558823529,68,38,0.307692308,65,20,0.251131222,0.251131222
1902,DET,0.507462687,67,34,0.257142857,70,18,0.250319829,0.250319829
1949,SLB,0.467532468,77,36,0.217948718,78,17,0.24958375,0.24958375
1879,CHC,0.674418605,43,29,0.425,40,17,0.249418605,0.249418605
1890,BWW,0.696969697,66,46,0.447761194,67,30,0.249208503,0.249208503
1872,BOS,0.952380952,21,20,0.703703704,27,19,0.248677249,0.248677249
1895,PHI,0.698630137,73,51,0.45,60,27,0.248630137,0.248630137
1896,STL,0.435483871,62,27,0.188405797,69,13,0.247078074,0.247078074
2015,HOU,0.654320988,81,53,0.407407407,81,33,0.24691358,0.24691358
1978,KCR,0.691358025,81,56,0.444444444,81,36,0.24691358,0.24691358
1973,NYY,0.617283951,81,50,0.37037037,81,30,0.24691358,0.24691358
2009,TBR,0.641975309,81,52,0.395061728,81,32,0.24691358,0.24691358
1977,PIT,0.716049383,81,58,0.469135802,81,38,0.24691358,0.24691358
1975,CIN,0.790123457,81,64,0.543209877,81,44,0.24691358,0.24691358
2018,MIN,0.604938272,81,49,0.358024691,81,29,0.24691358,0.24691358
1944,SLB,0.701298701,77,54,0.454545455,77,35,0.246753247,0.246753247
1892,PHI,0.679012346,81,55,0.432432432,74,32,0.246579913,0.246579913
1888,CIN,0.682926829,82,56,0.436363636,55,24,0.246563193,0.246563193
1874,PHI,0.64,25,16,0.393939394,33,13,0.246060606,0.246060606
1886,CHC,0.838709677,62,52,0.59375,64,38,0.244959677,0.244959677
1882,BUF,0.666666667,39,26,0.422222222,45,19,0.244444444,0.244444444
1875,BOS,1,37,37,0.755555556,45,34,0.244444444,0.244444444
1985,NYY,0.725,80,58,0.481481481,81,39,0.243518519,0.243518519
1889,PIT,0.571428571,70,40,0.328125,64,21,0.243303571,0.243303571
1890,CIN,0.684931507,73,50,0.442622951,61,27,0.242308556,0.242308556
1980,ATL,0.625,80,50,0.382716049,81,31,0.242283951,0.242283951
